Protein families,count
Dynein light chain family,21
Schlafen family,21
Pyrroline-5-carboxylate reductase family,21
Glycosyltransferase 61 family,21
Inositol phosphokinase (IPK) family,21
VPS26 family,21
'GDXG' lipolytic enzyme family,21
TDE1 family,21
Glycosyltransferase 54 family,21
Glucosamine/galactosamine-6-phosphate isomerase family,21
D-isomer specific 2-hydroxyacid dehydrogenase family,21
NOTCH family,21
Acireductone dioxygenase (ARD) family,21
C/M/P thioester hydrolase family,21
Selectin/LECAM family,21
TSC-22/Dip/Bun family,21
Dynein intermediate chain family,21
CBF/MAK21 family,21
GARIN family,21
MPI phosphatase family,21
Fibulin family,21
Chemokine-like factor family,21
V-ATPase proteolipid subunit family,21
Tdpoz family,21
Complexin/synaphin family,21
Pex2/pex10/pex12 family,21
TALE/MEIS homeobox family,21
